time,order_temperature,temperature,tempéraure max_palier,puissance,proportional_coeff,coeff_integral,derivative_coeff,proportionnel,integral,derive
555.9149354,-60953.80000000162,0,0,-340.65358754214253,12,1200,20,-125,-195.6535875421425,-20
556.2365014,-60991.20000000162,0,0,-341.0668291865927,12,1200,20,-125,-196.06682918659274,-20
556.5552366,-61028.60000000162,0,0,-339.4600266227502,12,1200,20,-125,-194.46002662275018,-20
556.8725496,-61066.00000000162,0,0,-338.7110188875871,12,1200,20,-125,-193.7110188875871,-20
557.1946814,-61103.400000001624,0,0,-341.7732434706759,12,1200,20,-125,-196.7732434706759,-20
557.5191768999999,-61140.800000001625,0,0,-343.3384638401609,12,1200,20,-125,-198.33846384016093,-20
557.8413371,-61178.20000000163,0,0,-342.0315673548725,12,1200,20,-125,-197.0315673548725,-20
558.1626848,-61215.60000000163,0,0,-341.6548304573852,12,1200,20,-125,-196.65483045738515,-20
558.4835896999999,-61253.00000000163,0,0,-341.5038690169272,12,1200,20,-125,-196.50386901692718,-20
558.7978054,-61290.40000000163,0,0,-337.52530089652294,12,1200,20,-125,-192.5253008965229,-20
559.1190527,-61327.80000000163,0,0,-341.9538282401659,12,1200,20,-125,-196.9538282401659,-20
559.4399687,-61365.200000001634,0,0,-341.8707337759531,12,1200,20,-125,-196.87073377595308,-20
559.7610126999999,-61402.600000001636,0,0,-342.0693277517288,12,1200,20,-125,-197.0693277517288,-20
560.0848204,-61440.00000000164,0,0,-343.88689867442054,12,1200,20,-125,-198.88689867442056,-20
560.4073175,-61477.40000000164,0,0,-343.2025250325145,12,1200,20,-125,-198.20252503251444,-20
560.7195703,-61514.80000000164,0,0,-337.02329398079195,12,1200,20,-125,-192.02329398079195,-20
561.0418789,-61552.20000000164,0,0,-343.32776221575807,12,1200,20,-125,-198.3277622157581,-20
561.3600773,-61589.60000000164,0,0,-340.91761850228806,12,1200,20,-125,-195.91761850228804,-20
561.6840079,-61627.000000001644,0,0,-344.568135673523,12,1200,20,-125,-199.56813567352302,-20
562.0068482,-61664.400000001646,0,0,-344.01716265129005,12,1200,20,-125,-199.01716265129008,-20
562.3198993,-61701.80000000165,0,0,-338.099622903151,12,1200,20,-125,-193.099622903151,-20
562.6430978,-61739.20000000165,0,0,-344.4797300262657,12,1200,20,-125,-199.4797300262657,-20
562.9663892,-61776.60000000165,0,0,-344.6579793542338,12,1200,20,-125,-199.65797935423382,-20
563.2808378999999,-61814.00000000165,0,0,-339.3145173491499,12,1200,20,-125,-194.3145173491499,-20
563.6039942,-61851.40000000165,0,0,-344.81626534362306,12,1200,20,-125,-199.81626534362306,-20
563.9287104,-61888.800000001655,0,0,-345.902237488794,12,1200,20,-125,-200.90223748879401,-20
564.2529515,-61926.200000001656,0,0,-345.7295588152275,12,1200,20,-125,-200.72955881522748,-20
564.5750443,-61963.60000000166,0,0,-344.52006270090783,12,1200,20,-125,-199.52006270090783,-20
564.8961871,-62001.00000000166,0,0,-344.0516935585755,12,1200,20,-125,-199.05169355857547,-20
565.2090613,-62038.40000000166,0,0,-339.04364005570847,12,1200,20,-125,-194.04364005570847,-20
565.5322264,-62075.80000000166,0,0,-345.54688910497237,12,1200,20,-125,-200.54688910497234,-20
565.8533441,-62113.20000000166,0,0,-344.3964300603076,12,1200,20,-125,-199.3964300603076,-20
566.1744235,-62150.600000001665,0,0,-344.4927315623804,12,1200,20,-125,-199.49273156238038,-20
566.4958611,-62188.000000001666,0,0,-344.8355056902555,12,1200,20,-125,-199.8355056902555,-20
566.816518,-62225.40000000167,0,0,-344.470075646091,12,1200,20,-125,-199.47007564609098,-20
567.1386729999999,-62262.80000000167,0,0,-345.5224801878737,12,1200,20,-125,-200.5224801878737,-20
567.4609280999999,-62300.20000000167,0,0,-345.70530993925513,12,1200,20,-125,-200.70530993925513,-20
567.7740698,-62337.60000000167,0,0,-340.14646271872914,12,1200,20,-125,-195.14646271872917,-20
568.0970135,-62375.00000000167,0,0,-346.37574223528986,12,1200,20,-125,-201.3757422352899,-20
568.4199274,-62412.400000001675,0,0,-346.4779298564091,12,1200,20,-125,-201.47792985640908,-20
568.733108,-62449.80000000168,0,0,-340.5220934036762,12,1200,20,-125,-195.5220934036762,-20
569.0545923999999,-62487.20000000168,0,0,-345.8264822465984,12,1200,20,-125,-200.82648224659843,-20
569.3764252,-62524.60000000168,0,0,-346.1644879675923,12,1200,20,-125,-201.1644879675923,-20
569.6909019999999,-62562.00000000168,0,0,-341.68416829048033,12,1200,20,-125,-196.68416829048036,-20
570.0139952,-62599.40000000168,0,0,-347.19398604392086,12,1200,20,-125,-202.19398604392083,-20
570.3271179,-62636.800000001684,0,0,-341.0714852453174,12,1200,20,-125,-196.0714852453174,-20
570.6350768,-62674.200000001685,0,0,-337.9531884287215,12,1200,20,-125,-192.9531884287215,-20
570.94718,-62711.60000000169,0,0,-340.66654690976486,12,1200,20,-125,-195.66654690976486,-20
571.2690772,-62749.00000000169,0,0,-346.927079083312,12,1200,20,-125,-201.92707908331198,-20
571.5912662,-62786.40000000169,0,0,-347.2306247844675,12,1200,20,-125,-202.2306247844675,-20
571.9044163,-62823.80000000169,0,0,-341.6742332912288,12,1200,20,-125,-196.67423329122883,-20
572.2266324999999,-62861.20000000169,0,0,-347.48871531623786,12,1200,20,-125,-202.4887153162379,-20
572.5427086999999,-62898.600000001694,0,0,-343.7483983181802,12,1200,20,-125,-198.74839831818022,-20
572.8638331999999,-62936.000000001695,0,0,-347.042864870134,12,1200,20,-125,-202.042864870134,-20
573.1780299,-62973.4000000017,0,0,-342.80158973008633,12,1200,20,-125,-197.80158973008636,-20
573.4911267,-63010.8000000017,0,0,-342.22624918847487,12,1200,20,-125,-197.22624918847487,-20
573.8033133,-63048.2000000017,0,0,-341.769652883042,12,1200,20,-125,-196.76965288304203,-20
574.1243168999999,-63085.6000000017,0,0,-347.4470192396531,12,1200,20,-125,-202.44701923965312,-20
574.4457109,-63123.0000000017,0,0,-347.81343377302886,12,1200,20,-125,-202.81343377302886,-20
574.7601751999999,-63160.400000001704,0,0,-343.55810474760267,12,1200,20,-125,-198.5581047476027,-20
575.0818684,-63197.800000001705,0,0,-348.2428683518535,12,1200,20,-125,-203.24286835185347,-20
575.4043594,-63235.20000000171,0,0,-348.8675228451245,12,1200,20,-125,-203.86752284512448,-20
