time,consigne,temperature,tempéraure max_palier,puissance,proportional_coeff,coeff_integral,derivative_coeff,proportionnel,integral,derive
16.016321599999856,-8.0,0,0,-97.24487089846261,12,1200,20,-96.0,-1.2448708984626011,0.0
16.319082699999854,-8.0,0,0,-97.26909178644242,12,1200,20,-96.0,-1.2690917864424167,0.0
16.622715499999913,-8.0,0,0,-97.29338241042218,12,1200,20,-96.0,-1.2933824104221794,0.0
16.926096199999847,-8.0,0,0,-97.31765286640194,12,1200,20,-96.0,-1.3176528664019487,0.0
17.228346899999906,-8.0,0,0,-97.3418329223818,12,1200,20,-96.0,-1.3418329223818033,0.0
17.531183000000055,-8.0,0,0,-97.36605981036162,12,1200,20,-96.0,-1.3660598103616264,0.0
17.833216300000004,-8.0,0,0,-97.39022247434148,12,1200,20,-96.0,-1.3902224743414866,0.0
18.1364137999999,-8.0,0,0,-97.41447827432127,12,1200,20,-96.0,-1.4144782743212652,0.0
18.43852229999993,-8.0,0,0,-97.43864695430112,12,1200,20,-96.0,-1.438646954301127,0.0
18.740872399999944,-8.0,0,0,-97.46283496228097,12,1200,20,-96.0,-1.4628349622809713,0.0
19.042804400000023,-8.0,0,0,-97.48698952226084,12,1200,20,-96.0,-1.486989522260849,0.0
19.345215599999847,-8.0,0,0,-97.51118241824068,12,1200,20,-96.0,-1.5111824182406741,0.0
19.64864969999985,-8.0,0,0,-97.53545714622045,12,1200,20,-96.0,-1.5354571462204454,0.0
19.95082709999997,-8.0,0,0,-97.5596313382003,12,1200,20,-96.0,-1.5596313382003097,0.0
20.253988700000036,-8.0,0,0,-97.5838842661801,12,1200,20,-96.0,-1.5838842661801042,0.0
20.556978299999855,-8.0,0,0,-97.6081234341599,12,1200,20,-96.0,-1.6081234341598905,0.0
20.86033969999994,-8.0,0,0,-97.63239234613967,12,1200,20,-96.0,-1.6323923461396732,0.0
21.16342439999994,-8.0,0,0,-97.65663912211947,12,1200,20,-96.0,-1.6566391221194676,0.0
21.466580499999964,-8.0,0,0,-97.68089161009925,12,1200,20,-96.0,-1.680891610099259,0.0
21.76955440000006,-8.0,0,0,-97.70512952207906,12,1200,20,-96.0,-1.7051295220790685,0.0
22.073573599999918,-8.0,0,0,-97.72945105805879,12,1200,20,-96.0,-1.7294510580587892,0.0
22.376829799999996,-8.0,0,0,-97.75371155403857,12,1200,20,-96.0,-1.7537115540385784,0.0
22.67971569999986,-8.0,0,0,-97.77794242601837,12,1200,20,-96.0,-1.7779424260183752,0.0
22.982283300000063,-8.0,0,0,-97.80214783399822,12,1200,20,-96.0,-1.8021478339982202,0.0
23.28410789999998,-8.0,0,0,-97.8262938019781,12,1200,20,-96.0,-1.8262938019780919,0.0
23.586981400000013,-8.0,0,0,-97.85052368195791,12,1200,20,-96.0,-1.850523681957903,0.0
23.890092200000026,-8.0,0,0,-97.8747725459377,12,1200,20,-96.0,-1.8747725459376967,0.0
24.193579999999884,-8.0,0,0,-97.89905156991745,12,1200,20,-96.0,-1.8990515699174526,0.0
24.496610099999998,-8.0,0,0,-97.92329397789726,12,1200,20,-96.0,-1.9232939778972598,0.0
24.79968299999996,-8.0,0,0,-97.94753980987706,12,1200,20,-96.0,-1.9475398098770518,0.0
25.10318910000001,-8.0,0,0,-97.97182029785682,12,1200,20,-96.0,-1.971820297856822,0.0
25.40579589999993,-8.0,0,0,-97.99602884183665,12,1200,20,-96.0,-1.996028841836642,0.0
25.70953880000002,-8.0,0,0,-98.0203282738164,12,1200,20,-96.0,-2.0203282738163995,0.0
26.013000799999872,-8.0,0,0,-98.04460523379616,12,1200,20,-96.0,-2.044605233796157,0.0
26.315485099999933,-8.0,0,0,-98.068803977776,12,1200,20,-96.0,-2.068803977775996,0.0
26.61849499999994,-8.0,0,0,-98.09304476975579,12,1200,20,-96.0,-2.093044769755796,0.0
26.92132360000005,-8.0,0,0,-98.11727105773562,12,1200,20,-96.0,-2.1172710577356164,0.0
27.224901199999977,-8.0,0,0,-98.14155726571538,12,1200,20,-96.0,-2.141557265715372,0.0
27.527867000000015,-8.0,0,0,-98.16579452969518,12,1200,20,-96.0,-2.1657945296951775,0.0
27.83100709999985,-8.0,0,0,-98.19004573767495,12,1200,20,-96.0,-2.190045737674955,0.0
28.133824900000036,-8.0,0,0,-98.21427116165478,12,1200,20,-96.0,-2.2142711616547817,0.0
28.43778659999998,-8.0,0,0,-98.23858809763452,12,1200,20,-96.0,-2.2385880976345134,0.0
28.74060529999997,-8.0,0,0,-98.26281359361433,12,1200,20,-96.0,-2.2628135936143243,0.0
29.043335599999864,-8.0,0,0,-98.28703201759413,12,1200,20,-96.0,-2.287032017594134,0.0
29.34675849999985,-8.0,0,0,-98.3113058495739,12,1200,20,-96.0,-2.311305849573905,0.0
29.649603800000023,-8.0,0,0,-98.33553347355372,12,1200,20,-96.0,-2.335533473553729,0.0
29.95328889999996,-8.0,0,0,-98.35982828153348,12,1200,20,-96.0,-2.359828281533478,0.0
