time,consigne,temperature,tempéraure max_palier,puissance,coeff_proportionnel,coeff_integral,coeff_derive,proportionnel,integral,derive
16.471823500000028,-8.0,0,0,-97.28094695943254,12,1200,20,-96.0,-1.28094695943254,0.0
16.778113099999246,-8.0,0,0,-97.30545012741206,12,1200,20,-96.0,-1.305450127412058,0.0
17.083260399998835,-8.0,0,0,-97.32986191139169,12,1200,20,-96.0,-1.329861911391682,0.0
17.389461099999608,-8.0,0,0,-97.35435796737133,12,1200,20,-96.0,-1.3543579673713304,0.0
17.695298299999195,-8.0,0,0,-97.3788249433509,12,1200,20,-96.0,-1.3788249433509083,0.0
18.00215190000017,-8.0,0,0,-97.40337323133053,12,1200,20,-96.0,-1.4033732313305296,0.0
18.307357800000318,-8.0,0,0,-97.4277897033102,12,1200,20,-96.0,-1.4277897033101943,0.0
18.61294149999958,-8.0,0,0,-97.45223639928976,12,1200,20,-96.0,-1.452236399289763,0.0
18.91958159999922,-8.0,0,0,-97.4767676072693,12,1200,20,-96.0,-1.4767676072692912,0.0
19.22487369999908,-8.0,0,0,-97.50119097524893,12,1200,20,-96.0,-1.5011909752489274,0.0
19.53125379999983,-8.0,0,0,-97.52570138322857,12,1200,20,-96.0,-1.5257013832285622,0.0
19.835878399999274,-8.0,0,0,-97.5500713512082,12,1200,20,-96.0,-1.5500713512082092,0.0
20.141596100000243,-8.0,0,0,-97.5745287671879,12,1200,20,-96.0,-1.5745287671879056,0.0
20.447270099999514,-8.0,0,0,-97.59898268716746,12,1200,20,-96.0,-1.598982687167469,0.0
20.753946699998778,-8.0,0,0,-97.62351681514697,12,1200,20,-96.0,-1.623516815146965,0.0
21.059385399999883,-8.0,0,0,-97.6479519111267,12,1200,20,-96.0,-1.647951911126691,0.0
21.364020699998946,-8.0,0,0,-97.6723227351063,12,1200,20,-96.0,-1.6723227351063068,0.0
21.669752099998732,-8.0,0,0,-97.69678124708591,12,1200,20,-96.0,-1.6967812470859076,0.0
21.97469379999893,-8.0,0,0,-97.7211765830656,12,1200,20,-96.0,-1.721176583065594,0.0
22.28041850000045,-8.0,0,0,-97.74563455904533,12,1200,20,-96.0,-1.7456345590453342,0.0
22.58644319999985,-8.0,0,0,-97.77011653502488,12,1200,20,-96.0,-1.7701165350248842,0.0
22.891897899999094,-8.0,0,0,-97.79455291100446,12,1200,20,-96.0,-1.7945529110044602,0.0
23.197346999999354,-8.0,0,0,-97.81898883898411,12,1200,20,-96.0,-1.8189888389841178,0.0
23.503276299999925,-8.0,0,0,-97.84346318296377,12,1200,20,-96.0,-1.8434631829637682,0.0
23.809692599999835,-8.0,0,0,-97.86797648694333,12,1200,20,-96.0,-1.867976486943333,0.0
24.11431569999877,-8.0,0,0,-97.89234633492293,12,1200,20,-96.0,-1.8923463349229397,0.0
24.420689700000366,-8.0,0,0,-97.91685625490264,12,1200,20,-96.0,-1.9168562549026424,0.0
24.727457199998753,-8.0,0,0,-97.94139765488207,12,1200,20,-96.0,-1.9413976548820624,0.0
25.033775399999286,-8.0,0,0,-97.96590311086169,12,1200,20,-96.0,-1.9659031108616838,0.0
25.33912119999877,-8.0,0,0,-97.99033077484128,12,1200,20,-96.0,-1.9903307748412862,0.0
25.644182199999705,-8.0,0,0,-98.01473565482102,12,1200,20,-96.0,-2.0147356548210236,0.0
25.949645900000178,-8.0,0,0,-98.0391727508007,12,1200,20,-96.0,-2.039172750800697,0.0
26.256001800000377,-8.0,0,0,-98.06368122278029,12,1200,20,-96.0,-2.063681222780289,0.0
26.562375399998928,-8.0,0,0,-98.08819111075975,12,1200,20,-96.0,-2.088191110759748,0.0
26.868700400000307,-8.0,0,0,-98.11269711073943,12,1200,20,-96.0,-2.112697110739437,0.0
27.174845199999254,-8.0,0,0,-98.13718869471894,12,1200,20,-96.0,-2.1371886947189433,0.0
27.480926199999885,-8.0,0,0,-98.16167517469859,12,1200,20,-96.0,-2.1616751746985883,0.0
27.786773699999685,-8.0,0,0,-98.18614297467818,12,1200,20,-96.0,-2.1861429746781824,0.0
28.09177759999875,-8.0,0,0,-98.21054328665777,12,1200,20,-96.0,-2.210543286657774,0.0
28.39594439999928,-8.0,0,0,-98.23487663063754,12,1200,20,-96.0,-2.2348766306375385,0.0
28.700919099999737,-8.0,0,0,-98.25927460661724,12,1200,20,-96.0,-2.2592746066172436,0.0
29.00668659999974,-8.0,0,0,-98.28373600659685,12,1200,20,-96.0,-2.2837360065968593,0.0
29.313324400000056,-8.0,0,0,-98.30826703057645,12,1200,20,-96.0,-2.308267030576442,0.0
29.61815679999927,-8.0,0,0,-98.33265362255605,12,1200,20,-96.0,-2.332653622556057,0.0
29.92409939999925,-8.0,0,0,-98.35712903053566,12,1200,20,-96.0,-2.3571290305356594,0.0
30.230611199998748,-8.0,0,0,-98.38164997451518,12,1200,20,-96.0,-2.381649974515185,0.0
30.536007900000186,-8.0,0,0,-98.40608171049495,12,1200,20,-96.0,-2.40608171049494,0.0
30.84167940000043,-8.0,0,0,-98.43053543047458,12,1200,20,-96.0,-2.4305354304745816,0.0
31.147303399999146,-8.0,0,0,-98.45498535045411,12,1200,20,-96.0,-2.4549853504541037,0.0
31.452693799999906,-8.0,0,0,-98.4794165824338,12,1200,20,-96.0,-2.4794165824338052,0.0
31.7576040999993,-8.0,0,0,-98.50380940641342,12,1200,20,-96.0,-2.5038094064134295,0.0
32.06337469999926,-8.0,0,0,-98.52827105439304,12,1200,20,-96.0,-2.5282710543930413,0.0
32.36729439999908,-8.0,0,0,-98.55258463037276,12,1200,20,-96.0,-2.552584630372766,0.0
32.67287299999953,-8.0,0,0,-98.57703091835243,12,1200,20,-96.0,-2.57703091835243,0.0
32.97849849999875,-8.0,0,0,-98.60148095833199,12,1200,20,-96.0,-2.6014809583319924,0.0
33.28386519999913,-8.0,0,0,-98.62591029431167,12,1200,20,-96.0,-2.625910294311665,0.0
33.589362299999266,-8.0,0,0,-98.65035006229131,12,1200,20,-96.0,-2.6503500622913094,0.0
33.89418529999966,-8.0,0,0,-98.67473590227102,12,1200,20,-96.0,-2.6747359022710198,0.0
34.19988740000008,-8.0,0,0,-98.69919207025067,12,1200,20,-96.0,-2.699192070250673,0.0
34.50553249999939,-8.0,0,0,-98.72364367823025,12,1200,20,-96.0,-2.7236436782302413,0.0
34.812349599998925,-8.0,0,0,-98.74818904620975,12,1200,20,-96.0,-2.74818904620975,0.0
35.11888139999974,-8.0,0,0,-98.77271159018937,12,1200,20,-96.0,-2.7727115901893793,0.0
35.42346989999896,-8.0,0,0,-98.79707867016901,12,1200,20,-96.0,-2.7970786701690113,0.0
35.729820099999415,-8.0,0,0,-98.82158668614862,12,1200,20,-96.0,-2.8215866861486245,0.0
36.03552359999958,-8.0,0,0,-98.84604296612825,12,1200,20,-96.0,-2.846042966128257,0.0
36.34052359999987,-8.0,0,0,-98.87044296610794,12,1200,20,-96.0,-2.870442966107947,0.0
36.64529719999882,-8.0,0,0,-98.89482485408755,12,1200,20,-96.0,-2.894824854087545,0.0
36.95104050000009,-8.0,0,0,-98.91928431806727,12,1200,20,-96.0,-2.919284318067264,0.0
37.25568729999941,-8.0,0,0,-98.9436560620469,12,1200,20,-96.0,-2.9436560620468994,0.0
37.56205289999889,-8.0,0,0,-98.96816531002644,12,1200,20,-96.0,-2.9681653100264334,0.0
37.868040199999086,-8.0,0,0,-98.99264429400606,12,1200,20,-96.0,-2.99264429400605,0.0
38.17371590000039,-8.0,0,0,-99.01709834998577,12,1200,20,-96.0,-3.0170983499857758,0.0
38.479219299999386,-8.0,0,0,-99.04153862196533,12,1200,20,-96.0,-3.0415386219653286,0.0
38.784496399999625,-8.0,0,0,-99.065960789945,12,1200,20,-96.0,-3.065960789944996,0.0
39.089302999998836,-8.0,0,0,-99.09034531792462,12,1200,20,-96.0,-3.0903453179246125,0.0
39.39457559999937,-8.0,0,0,-99.11476712590431,12,1200,20,-96.0,-3.114767125904304,0.0
39.6995938,-8.0,0,0,-99.13916858188402,12,1200,20,-96.0,-3.13916858188402,0.0
40.00402519999989,-8.0,0,0,-99.16352309386372,12,1200,20,-96.0,-3.163523093863715,0.0
40.31021369999871,-8.0,0,0,-99.1880181738432,12,1200,20,-96.0,-3.1880181738432083,0.0
40.6164663999989,-8.0,0,0,-99.2125183898228,12,1200,20,-96.0,-3.2125183898228067,0.0
40.922989799999414,-8.0,0,0,-99.2370402618024,12,1200,20,-96.0,-3.237040261802413,0.0
41.228330500000084,-8.0,0,0,-99.26146751778211,12,1200,20,-96.0,-3.2614675177821106,0.0
41.53467350000028,-8.0,0,0,-99.28597495776171,12,1200,20,-96.0,-3.2859749577617032,0.0
41.840883299999405,-8.0,0,0,-99.31047174174122,12,1200,20,-96.0,-3.3104717417412193,0.0
42.146524599998884,-8.0,0,0,-99.3349230457208,12,1200,20,-96.0,-3.3349230457208017,0.0
42.45180509999955,-8.0,0,0,-99.3593454857005,12,1200,20,-96.0,-3.3593454857005023,0.0
42.75725989999955,-8.0,0,0,-99.38378186968013,12,1200,20,-96.0,-3.3837818696801394,0.0
43.06324109999878,-8.0,0,0,-99.40826036565967,12,1200,20,-96.0,-3.4082603656596784,0.0
43.3692231999994,-8.0,0,0,-99.43273893363933,12,1200,20,-96.0,-3.432738933639329,0.0
43.67366949999996,-8.0,0,0,-99.45709463761908,12,1200,20,-96.0,-3.457094637619078,0.0
43.979901299999256,-8.0,0,0,-99.48159318159861,12,1200,20,-96.0,-3.481593181598606,0.0
44.286115699998845,-8.0,0,0,-99.50609033357816,12,1200,20,-96.0,-3.506090333578159,0.0
44.59194419999949,-8.0,0,0,-99.53055661355782,12,1200,20,-96.0,-3.5305566135578217,0.0
44.89691499999935,-8.0,0,0,-99.55495427753748,12,1200,20,-96.0,-3.5549542775374796,0.0
45.20213909999984,-8.0,0,0,-99.57937220551717,12,1200,20,-96.0,-3.57937220551717,0.0
45.50725749999947,-8.0,0,0,-99.6037816774968,12,1200,20,-96.0,-3.6037816774967992,0.0
45.81337789999998,-8.0,0,0,-99.62827130947643,12,1200,20,-96.0,-3.6282713094764323,0.0
46.118167299999186,-8.0,0,0,-99.65265446145605,12,1200,20,-96.0,-3.6526544614560494,0.0
46.42329280000013,-8.0,0,0,-99.67706450143578,12,1200,20,-96.0,-3.677064501435783,0.0
46.72975889999907,-8.0,0,0,-99.70158178941527,12,1200,20,-96.0,-3.7015817894152674,0.0
47.03584049999881,-8.0,0,0,-99.72606831739485,12,1200,20,-96.0,-3.7260683173948412,0.0
47.34096649999992,-8.0,0,0,-99.7504783973746,12,1200,20,-96.0,-3.7504783973745885,0.0
47.64690940000037,-8.0,0,0,-99.77495382935423,12,1200,20,-96.0,-3.774953829354228,0.0
47.953090999999404,-8.0,0,0,-99.79944835733374,12,1200,20,-96.0,-3.7994483573337385,0.0
48.26032119999945,-8.0,0,0,-99.82402677331326,12,1200,20,-96.0,-3.8240267733132605,0.0
48.564839999999094,-8.0,0,0,-99.84838827729293,12,1200,20,-96.0,-3.8483882772929308,0.0
48.87714979999873,-8.0,0,0,-99.87337306127208,12,1200,20,-96.0,-3.873373061272081,0.0
49.1837188999998,-8.0,0,0,-99.89789858925172,12,1200,20,-96.0,-3.897898589251729,0.0
49.48978480000005,-8.0,0,0,-99.92238386123134,12,1200,20,-96.0,-3.9223838612313444,0.0
49.79418259999875,-8.0,0,0,-99.94673568521095,12,1200,20,-96.0,-3.9467356852109465,0.0
50.10156199999983,-8.0,0,0,-99.97132603719054,12,1200,20,-96.0,-3.9713260371905412,0.0
50.40734909999992,-8.0,0,0,-99.99578900517017,12,1200,20,-96.0,-3.9957890051701628,0.0
